Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,PAN_1_S7,PAN_2_S8,PAN_3_S9,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000159377.11,PSMB4,395.7465694,1805.292817,9.39E-05,0.00087386,1646.015026,1634.635671,1541.607899,1994.875307,2004.236566,2010.386431,2003.166101,1607.419532,1.246199926,0.317535536
ENSG00000154277.13,UCHL1,384.8104609,498.4397835,4.38E-06,0.000154107,291.5543036,315.4135361,311.1358195,677.6077957,720.3573685,674.5698778,690.845014,306.0345531,2.257408541,1.174667538
ENSG00000142669.15,SH3BGRL3,383.6139713,439.2977991,3.50E-05,0.000475982,224.6136103,260.8675094,256.9913208,623.6338827,595.0024125,674.6780591,631.1047848,247.4908135,2.550012972,1.350504586
ENSG00000158050.5,DUSP2,373.2971407,361.3710133,1.98E-06,0.000102887,163.8623576,191.8158091,168.4891622,559.50095,557.0977232,527.4600778,548.0195837,174.722443,3.136515117,1.649162516
ENSG00000143333.7,RGS16,372.5966792,359.6216876,1.75E-09,5.84E-06,171.4587466,171.6309318,176.8803656,541.3482362,548.369727,548.0421183,545.9200271,173.323348,3.149720066,1.655223614
ENSG00000132475.10,H3-3B,367.2011082,1112.868428,4.74E-06,0.000158691,915.2671078,914.9229869,957.6135282,1311.055848,1286.273246,1292.077854,1296.468983,929.2678743,1.395150977,0.480421252
ENSG00000170345.10,FOS,348.9682423,175.8549583,3.10E-08,1.61E-05,0.501549632,1.626989913,1.983971892,360.4558452,345.4088414,345.1525518,350.3390795,1.370837146,255.565791,7.997550926
ENSG00000125398.8,SOX9,346.1341337,188.5233638,3.67E-06,0.000140805,17.40368859,10.60693721,18.35826502,376.3156544,333.4530027,375.0026348,361.5904306,15.45629694,23.39437655,4.548089877
ENSG00000135821.19,GLUL,335.2237744,546.6667812,1.93E-06,0.000101819,373.8976256,371.447021,391.8200354,722.3337069,726.417215,694.0850834,714.2786684,379.054894,1.884367356,0.914080245
ENSG00000198668.13,CALM1,333.7960336,314.6849187,9.62E-09,1.02E-05,149.3415497,140.9260584,153.0930975,479.7183492,483.5698619,481.4605953,481.5829355,147.7869019,3.2586307,1.704265861
ENSG00000170385.10,SLC30A1,330.4377727,375.8632953,2.31E-07,3.76E-05,211.6167611,202.0743325,218.2421333,530.4000603,542.5524852,550.2939996,541.0821817,210.644409,2.56869947,1.361038109
ENSG00000172115.9,CYCS,322.6082502,659.3250076,0.000525304,0.002822059,489.450554,444.8136231,559.7984703,786.4238679,813.4446074,862.0189227,820.6291327,498.0208825,1.647780568,0.720524134
ENSG00000063177.13,RPL18,322.1424315,1764.922943,0.001569057,0.006283494,1646.231013,1658.475142,1506.849028,1900.445891,1959.299744,1918.236842,1925.994159,1603.851728,1.200855494,0.264062554
ENSG00000196924.19,FLNA,319.7025595,483.0298674,2.04E-06,0.000103413,332.974231,331.6175069,304.9440249,657.1398229,637.0363524,634.467266,642.8811471,323.1785876,1.98924425,0.992220429
ENSG00000273802.2,H2BC8,316.3582162,199.3441622,5.93E-07,5.76E-05,51.21102925,38.52169078,33.76244214,347.6621468,371.1799394,353.7277246,357.5232703,41.16505406,8.685116016,3.118545121
ENSG00000091527.16,CDV3,306.2558209,443.4219399,4.52E-06,0.00015607,285.7970562,274.9451982,310.1398339,582.508284,596.3431611,610.7981058,596.5498503,290.2940294,2.054984911,1.039127801
ENSG00000013306.16,SLC25A39,300.1795692,860.3367532,3.39E-05,0.000466616,734.7410511,723.3762769,672.6235778,1023.573326,1004.242831,1003.463456,1010.426538,710.2469686,1.422641113,0.508571762
ENSG00000168906.13,MAT2A,297.6552761,1226.182189,0.000324623,0.002013745,1091.870842,1025.706173,1114.486638,1335.508853,1396.017312,1393.503315,1375.009827,1077.354551,1.276283491,0.351948819
ENSG00000111669.15,TPI1,293.7168834,3166.067041,1.60E-05,0.000304261,3010.680655,3017.29315,3029.651992,3327.289681,3330.113996,3281.37277,3312.925482,3019.208599,1.097282739,0.133935316
ENSG00000155368.16,DBI,292.31182,525.9031097,5.93E-06,0.000179592,392.4252376,373.9105525,372.9058091,664.9366471,695.1046719,656.1357402,672.0590198,379.7471997,1.769753721,0.823548609
ENSG00000030582.18,GRN,289.2528288,300.5598624,2.76E-07,4.01E-05,155.9831478,158.5647688,153.2524275,437.4168943,439.8182061,458.3237301,445.1862769,155.933448,2.854976161,1.513478699
ENSG00000135002.12,RFK,288.1427929,203.1899271,1.29E-07,2.75E-05,49.56958026,60.17166711,67.61434457,351.7964926,344.2216997,345.7657784,347.2613235,59.11853065,5.873984345,2.554339421
ENSG00000137331.12,IER3,286.2283607,156.9288052,0.000123174,0.001046262,11.38517665,15.04664375,15.01205398,335.519548,250.2965267,314.3128818,300.0429855,13.8146248,21.71922799,4.440900918
ENSG00000186834.4,HEXIM1,280.6562427,353.2936247,8.64E-08,2.20E-05,218.5953916,213.4453678,206.8557508,499.8084301,494.394054,486.6627542,493.6217461,212.9655034,2.317848376,1.212786194
ENSG00000182481.10,KPNA2,277.3985178,640.1104502,1.41E-05,0.000286612,499.5635742,488.2266727,516.443327,761.9802771,804.4226085,770.0262417,778.8097091,501.4111913,1.553235593,0.635276673
ENSG00000242732.4,RTL5,275.9172799,178.7323479,2.49E-08,1.55E-05,39.91464267,37.76504342,44.64143766,318.1238108,310.4927964,321.4563564,316.6909879,40.77370792,7.767039203,2.957364748
ENSG00000124659.7,TBCC,272.8817292,457.6784688,4.31E-08,1.66E-05,315.821681,325.403048,322.4880837,591.3678612,590.5112666,600.4788725,594.1193334,321.2376042,1.849470067,0.887111951
ENSG00000160014.17,CALM3,269.7910429,474.4120938,3.15E-06,0.000129598,347.3950542,344.8291924,326.3254705,593.9444784,623.1814921,610.7968754,609.3076153,339.5165724,1.794632913,0.843688775
ENSG00000075624.17,ACTB,258.9209802,858.0177234,1.96E-05,0.000340647,730.817568,751.5769989,703.277133,999.705156,985.2086029,977.5208815,987.4782135,728.5572333,1.355388662,0.438706608
ENSG00000168298.7,H1-4,255.8057459,132.6497013,4.16E-06,0.000150841,4.339965685,7.039263856,2.861255524,244.4505458,256.1881514,281.0190257,260.5525743,4.746828355,54.88982427,5.778466816
ENSG00000104904.12,OAZ1,251.4500863,867.634252,1.79E-05,0.000323288,737.2345049,739.2099149,749.2832068,965.0379573,1005.624991,1009.414937,993.3592952,741.9092089,1.338922989,0.421072983
ENSG00000175906.5,ARL4D,244.2391212,387.4742247,6.00E-05,0.000662384,296.1738261,247.9396097,251.9505564,489.3151089,523.9371718,515.5290751,509.5937853,265.3546641,1.920425206,0.941425777
ENSG00000100979.15,PLTP,243.2830478,207.8854853,4.21E-07,4.89E-05,86.68211699,89.36423911,82.68552823,321.8775839,341.233336,325.4701077,329.5270092,86.24396144,3.820870513,1.933901367
ENSG00000136099.13,PCDH8,234.3839082,147.9014771,6.87E-07,6.13E-05,24.93537733,36.27143948,30.92175208,270.0629187,253.4350495,271.7823253,265.0934312,30.70952296,8.632287499,3.109742915
ENSG00000078804.13,TP53INP2,233.6185381,196.0224465,1.69E-06,9.34E-05,81.43885284,81.97340455,74.22727495,317.8820306,297.637957,322.9751591,312.8317156,79.21317745,3.949238317,1.98157443
ENSG00000169976.7,SF3B5,232.2071248,883.0934927,0.002365479,0.008590379,829.1378645,773.4450673,698.3868593,1005.852782,1022.710526,969.027857,999.1970551,766.9899304,1.302751204,0.381561588
ENSG00000186298.12,PPP1CC,230.1766255,332.3658866,2.75E-06,0.000123393,217.032989,205.9401304,228.859602,438.3609938,445.2836601,458.7179442,447.4541994,217.2775738,2.059366696,1.042200743
ENSG00000157765.13,SLC34A2,226.6950785,113.3860845,1.65E-10,1.75E-06,0.055559129,0.060076568,0,226.1085656,228.7863084,225.3059972,226.7336237,0.038545232,5882.274158,12.52215831
ENSG00000197728.11,RPS26,215.5610862,1260.417911,0.001305681,0.005487075,1165.900596,1126.076809,1165.934698,1309.650597,1411.155347,1383.789418,1368.198454,1152.637368,1.187015528,0.247338808
ENSG00000197746.14,PSAP,211.7220443,275.4511527,1.22E-08,1.13E-05,169.6660446,171.1251715,167.9791755,378.4091643,379.5741648,385.9531953,381.3121748,169.5901305,2.24843376,1.168920382
ENSG00000168476.12,REEP4,210.5306577,307.864608,1.32E-05,0.00027596,212.3862429,202.4158344,192.9957602,432.2953517,408.7894312,398.3050276,413.1299368,202.5992791,2.039148108,1.027966566
ENSG00000124762.14,CDKN1A,209.0203589,164.9615658,2.02E-09,5.84E-06,60.91352095,57.7179084,62.72272969,271.1026364,268.7526282,268.5599712,269.4717453,60.45138635,4.457660305,2.15628668
ENSG00000132467.4,UTP3,204.3750227,434.752293,0.000348,0.002117942,345.782469,300.7635834,351.1482925,522.0056206,518.4674649,570.3463274,536.9398043,332.5647816,1.61454199,0.691124962
ENSG00000162191.14,UBXN1,203.303597,411.2456909,4.22E-05,0.000529842,310.9196142,298.1396917,319.7223711,534.4476917,514.4532593,489.7915171,512.8974894,309.5938923,1.65667832,0.728293499
ENSG00000128272.16,ATF4,201.7622356,1396.975416,0.000101609,0.000917417,1288.402811,1318.406156,1281.473929,1503.988218,1472.746172,1516.835213,1497.856534,1296.094298,1.155669411,0.208728761
ENSG00000115738.10,ID2,200.5842001,114.0715165,4.24E-06,0.000151937,12.769559,14.13659297,14.43209748,210.2693475,202.0734109,230.7480913,214.3636166,13.77941648,15.55679929,3.959473361
ENSG00000173456.5,RNF26,199.7615829,332.4016847,1.43E-05,0.000287198,249.1402292,231.5756772,216.8467733,443.642767,429.9865192,423.2181422,432.2824762,232.5208932,1.859112401,0.894613998
ENSG00000171864.5,PRND,191.5269855,96.15283196,1.32E-07,2.76E-05,0.260649649,0.563685455,0.343682555,194.7583339,184.3488398,196.6418004,191.9163247,0.389339219,492.9283131,8.94523404
ENSG00000064601.20,CTSA,188.0887758,190.7884878,6.92E-07,6.13E-05,97.18253537,97.85179515,95.19796934,279.9622256,295.4792536,279.057148,284.8328757,96.74409996,2.944188595,1.557870089
ENSG00000165410.15,CFL2,187.1050652,282.1749056,7.02E-06,0.000194743,182.4100268,182.3675929,201.0894992,380.3569415,363.1716302,383.6537428,375.7274382,188.622373,1.991955844,0.994185667
ENSG00000166595.12,CIAO2B,183.1771089,387.8974517,0.001179523,0.005098585,301.1593992,309.990202,277.7770905,515.1233745,493.817715,429.5169289,479.4860061,296.3088972,1.618196452,0.694386764
ENSG00000203879.12,GDI1,177.9944763,272.4199048,7.16E-05,0.000737995,192.0108739,186.4944945,171.7626314,370.3915878,377.6424833,336.2173577,361.4171429,183.4226666,1.97040611,0.978493007
ENSG00000160888.7,IER2,177.7595759,144.2502753,3.69E-06,0.000140849,56.91323585,58.66887311,50.529353,238.5987856,241.39262,219.398784,233.1300632,55.37048732,4.21036683,2.073945934
ENSG00000150991.15,UBC,177.7286101,763.3137734,0.00044782,0.002520298,659.4120525,678.4336275,685.5027253,840.6058675,825.1067287,890.8216392,852.1780785,674.4494684,1.263516569,0.337444583
ENSG00000182117.6,NOP10,176.2502996,507.4784334,0.001319902,0.005528184,378.1677151,433.6593601,446.2327754,604.5122208,620.0899506,562.2085782,595.6035832,419.3532835,1.420290735,0.506186281
ENSG00000158710.15,TAGLN2,174.1854018,140.5381447,2.09E-06,0.000104258,54.68761381,55.14200985,50.50670777,218.4823344,225.0010096,239.4091929,227.6308457,53.44544381,4.25912537,2.090557197
ENSG00000184678.10,H2BC21,173.3233535,161.8631832,2.14E-05,0.000356683,65.38433261,88.37580808,71.84437869,245.2981669,236.5474057,263.7290071,248.5248599,75.20150646,3.304785657,1.724556704
