Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI_Plus_PAN_1_S10,JOI_Plus_PAN_2_S11,JOI_Plus_PAN_3_S12,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000120129.6,DUSP1,886.9010823,463.575784,7.65E-07,2.86E-05,15.42507804,20.25340024,24.6972501,917.3899313,945.3241737,858.3648703,907.0263251,20.1252428,45.06908733,5.49406633
ENSG00000130522.6,JUND,878.7509396,728.6784538,0.000179857,0.000899581,262.0538326,324.5250254,281.3300941,1284.893686,1212.389738,1006.878346,1168.053924,289.302984,4.037476238,2.013453769
ENSG00000168906.13,MAT2A,869.9105789,1512.30984,1.14E-05,0.000136766,1091.870842,1025.706173,1114.486638,1947.845523,1882.644915,2011.304951,1947.26513,1077.354551,1.8074506,0.853956217
ENSG00000128016.7,ZFP36,820.8266957,416.5639289,1.95E-07,1.38E-05,5.989863006,7.196545408,5.265334601,857.5201012,827.1307901,796.2809388,826.9772767,6.150581005,134.4551476,7.070981179
ENSG00000198576.4,ARC,792.2360087,397.5386606,2.07E-09,1.91E-06,1.990995625,1.61466064,0.656312474,799.8449977,800.0933249,781.0316721,793.6566649,1.420656246,558.6549647,9.125813714
ENSG00000170385.10,SLC30A1,790.0374338,605.6631259,3.28E-08,6.50E-06,211.6167611,202.0743325,218.2421333,1006.487272,980.2357591,1015.322497,1000.681843,210.644409,4.750573954,2.248101827
ENSG00000276180.1,H4C9,781.6544208,654.1491628,8.90E-05,0.000540704,278.4705107,222.6235194,288.8718271,1034.714498,944.0787529,1156.135869,1044.976373,263.3219524,3.968436219,1.988570619
ENSG00000117318.9,ID3,779.4543585,522.332449,5.24E-09,2.92E-06,137.6190451,123.0307887,137.1659755,919.3784196,900.3212462,916.479219,912.0596283,132.6052698,6.878004396,2.781990038
ENSG00000099875.16,MKNK2,763.9278587,431.3674246,2.96E-07,1.68E-05,48.58116015,48.64499124,50.98433429,824.7645805,837.2013798,778.0281016,813.3313539,49.40349522,16.46303263,4.041158212
ENSG00000273802.2,H2BC8,758.2411453,420.2856267,1.01E-08,3.77E-06,51.21102925,38.52169078,33.76244214,811.9344837,788.627294,797.6568203,799.4061993,41.16505406,19.41953479,4.279436735
ENSG00000100979.15,PLTP,742.0716622,457.2797925,5.72E-08,7.77E-06,86.68211699,89.36423911,82.68552823,844.1415182,836.2006715,804.6046813,828.3156236,86.24396144,9.604331826,3.263685249
ENSG00000184678.10,H2BC21,679.9963404,415.1996766,4.07E-07,1.99E-05,65.38433261,88.37580808,71.84437869,770.1634027,723.6344269,771.7957109,755.1978468,75.20150646,10.04232338,3.328021184
ENSG00000166165.13,CKB,652.3146844,455.2566764,4.38E-06,7.41E-05,151.5267432,127.6958471,108.0754123,789.8308257,819.5094313,734.9017987,781.4140186,129.0993342,6.052812149,2.597605577
ENSG00000174460.4,ZCCHC12,650.9122879,325.6371483,2.76E-07,1.63E-05,0.543013195,0,0,649.4856269,625.7330123,678.0612376,651.0932923,0.181004398,3597.113102,11.81262381
ENSG00000143384.14,MCL1,650.7941862,509.5857293,4.93E-07,2.24E-05,182.3416638,174.7265773,195.4976676,844.9234513,803.5518226,856.4731932,834.9828224,184.1886362,4.533302594,2.180562463
ENSG00000099860.9,GADD45B,631.6044772,329.1958673,9.97E-08,1.00E-05,15.17668543,6.046040627,18.95815985,637.9002387,630.3107861,666.7832928,644.9981059,13.39362863,48.1570845,5.589676147
ENSG00000146278.11,PNRC1,631.3469008,358.3473167,2.65E-08,5.63E-06,35.62708338,48.99231872,43.4021969,682.0636299,681.7596863,658.2389853,674.0207672,42.67386633,15.7946965,3.98136831
ENSG00000117399.14,CDC20,630.6749947,829.3572424,2.55E-08,5.53E-06,508.733799,520.3632314,512.9622046,1143.85348,1131.238968,1158.991771,1144.69474,514.019745,2.226947021,1.155067237
ENSG00000115738.10,ID2,614.2305128,320.8946729,1.03E-06,3.44E-05,12.769559,14.13659297,14.43209748,594.629863,628.7728292,660.6270956,628.0099293,13.77941648,45.57594512,5.510200669
ENSG00000188163.8,FAM166A,600.5609021,536.3433452,5.03E-07,2.26E-05,259.0012122,242.1308383,207.0566319,829.4459216,844.6549885,835.7704786,836.6237962,236.0628941,3.544071589,1.825407746
ENSG00000075624.17,ACTB,576.5799684,1016.847218,7.66E-07,2.86E-05,730.817568,751.5769989,703.277133,1319.009736,1308.74046,1287.661409,1305.137202,728.5572333,1.79139969,0.841087261
ENSG00000160888.7,IER2,564.4152786,337.5781266,4.18E-07,2.00E-05,56.91323585,58.66887311,50.529353,645.6752193,616.7557553,596.9263232,619.7857659,55.37048732,11.19343166,3.484580498
ENSG00000150991.15,UBC,556.8422175,952.8705772,7.31E-06,0.000102417,659.4120525,678.4336275,685.5027253,1205.538914,1206.297398,1282.038745,1231.291686,674.4494684,1.825624815,0.868390307
ENSG00000108106.14,UBE2S,539.9443178,465.3292101,7.52E-05,0.000476569,190.8616448,217.1699826,178.0395264,778.0550942,775.5979041,652.2511089,735.301369,195.3570513,3.763884458,1.912222342
ENSG00000158615.9,PPP1R15B,537.070968,691.9901114,1.36E-06,3.99E-05,416.7727637,414.5459223,439.0451963,949.7173052,940.0426076,991.8168734,960.5255954,423.4546274,2.26830818,1.181616663
