Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI1_S4,JOI2_S5,JOI3_S6,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000101444.13,AHCY,126.8089008,256.5471041,8.27E-07,0.000157807,195.9326262,196.0529295,187.4424055,324.4147402,317.0880971,318.3518261,319.9515545,193.1426537,1.656555651,0.728186671
ENSG00000196787.3,H2AC11,122.8430532,88.41659248,6.09E-06,0.000365179,29.60145928,30.36686285,21.01687558,140.7667633,155.6246017,153.1229922,149.8381191,26.9950659,5.550574301,2.47263705
ENSG00000168264.11,IRF2BP2,118.7835232,665.2058966,1.30E-05,0.000519046,616.07098,598.9841825,602.3872424,729.5664596,726.3498043,717.8767106,724.5976582,605.8141349,1.196072552,0.258304903
ENSG00000253352.10,TUG1,116.2054334,276.9086577,0.000149313,0.001974555,218.035498,212.1145425,226.2677825,328.0930482,354.334448,322.6066268,335.0113743,218.805941,1.531089023,0.614558168
ENSG00000124766.7,SOX4,115.0655738,383.4696961,0.000759625,0.005682958,345.1328965,314.0301049,318.6477263,456.5425797,417.8367075,448.6281618,441.002483,325.9369092,1.353030205,0.436194046
ENSG00000167978.17,SRRM2,113.5428076,625.7397002,0.000619039,0.004985279,568.3440389,588.8677272,549.6931232,699.5470431,678.2182004,669.7680685,682.511104,568.9682965,1.199559111,0.262504252
ENSG00000117592.9,PRDX6,113.0109996,618.0897044,0.000891054,0.006287254,554.2913792,540.3565529,590.1046817,665.3500181,677.0460993,681.3894951,674.5952042,561.5842046,1.201236072,0.264519704
ENSG00000165175.16,MID1IP1,110.596618,464.7845262,0.000245928,0.002711868,408.7158009,410.4835646,409.2592861,503.4705503,541.6733373,515.1046179,520.0828352,409.4862172,1.270086302,0.344926531
ENSG00000065978.19,YBX1,109.1982662,699.4335915,2.94E-05,0.000781503,655.1480343,647.5477668,631.8075741,752.7829813,753.7143871,755.6008054,754.0327246,644.8344584,1.1693431,0.225698297
ENSG00000168209.6,DDIT4,108.1565081,193.3303345,0.000357415,0.003420969,160.4568097,130.781413,126.5180187,255.0432763,236.4755082,250.7069814,247.4085886,139.2520805,1.776695815,0.829196701
ENSG00000084234.18,APLP2,107.7630291,125.9194642,6.88E-08,5.83E-05,69.34465839,71.89983893,74.86935161,179.7237137,181.2194524,178.4597702,179.8009788,72.03794964,2.495920271,1.31957185
ENSG00000168298.7,H1-4,104.4790648,56.98636077,0.000463283,0.004102332,4.339965685,7.039263856,2.861255524,86.41484406,112.6390407,128.6237948,109.2258932,4.746828355,23.01028919,4.52420721
ENSG00000176903.5,PNMA1,101.981601,143.4079842,4.91E-06,0.000328581,90.57384957,95.80919657,90.8685051,188.1864229,201.8574292,193.1525022,194.3987847,92.41718375,2.103491763,1.072786169
ENSG00000143878.10,RHOB,97.87283179,221.4024345,7.94E-05,0.001385025,175.3230624,162.2728258,179.8021675,281.5729304,263.0944859,266.3491348,270.3388504,172.4660186,1.567490527,0.648456724
ENSG00000135624.16,CCT7,96.88526837,333.419505,2.45E-05,0.00070268,276.3527726,285.0685199,293.50932,378.3701034,388.2429605,378.9733537,381.8621392,284.9768708,1.339975901,0.422207054
ENSG00000197858.11,GPAA1,96.21154741,226.3318052,7.57E-06,0.000404963,181.2776265,183.28869,170.111778,276.9733769,275.5704658,270.768894,274.4375789,178.2260315,1.539828815,0.622769973
ENSG00000253719.4,ATXN7L3B,94.81477906,287.7452128,6.52E-05,0.001248086,241.6876954,233.8680196,245.4577547,344.8259765,323.2648529,337.3669775,335.1526023,240.3378232,1.394506274,0.479754425
ENSG00000090621.15,PABPC4,93.95383242,314.0558251,1.77E-07,7.64E-05,263.8866183,266.9707131,270.3793954,361.7485315,360.3589555,360.990737,361.0327413,267.0789089,1.351783047,0.434863627
